img,Popularity ranking,Artist,Artist Link,Fans tracking,Tour dates,
,150,Lady Antebellum,Lady Antebellum,"844,683",17 concerts,
,159,Tame Impala,Tame Impala,"821,128",17 concerts,
,189,Martin Garrix,Martin Garrix,"731,443",17 concerts,
,30,Wiz Khalifa,Wiz Khalifa,"1,830,827",18 concerts,
,87,The Cure,The Cure,"1,122,841",18 concerts,
,131,The Kooks,The Kooks,"932,084",18 concerts,
,157,T-Pain,T-Pain,"824,599",18 concerts,
,21,Nicki Minaj,Nicki Minaj,"2,007,002",19 concerts,
,107,Aerosmith,Aerosmith,"1,027,647",19 concerts,
,175,Tiësto,Tiësto,"782,196",19 concerts,
,197,Passenger,Passenger,"714,526",19 concerts,
,3,Eminem,Eminem,"2,950,442",2 concerts,
,6,Maroon 5,Maroon 5,"2,711,002",2 concerts,
,20,Imagine Dragons,Imagine Dragons,"2,008,966",2 concerts,
,24,The Killers,The Killers,"1,966,256",2 concerts,
,40,Flo Rida,Flo Rida,"1,539,949",2 concerts,
,44,OneRepublic,OneRepublic,"1,457,360",2 concerts,
,58,MGMT,MGMT,"1,327,167",2 concerts,
,59,Kid Cudi,Kid Cudi,"1,323,115",2 concerts,
,88,Pharrell Williams,Pharrell Williams,"1,122,282",2 concerts,
,135,Ludacris,Ludacris,"913,907",2 concerts,
,147,System of a Down,System of a Down,"858,865",2 concerts,
,168,G-Eazy,G-Eazy,"807,860",2 concerts,
,196,Carly Rae Jepsen,Carly Rae Jepsen,"717,798",2 concerts,
,22,Lady Gaga,Lady Gaga,"1,991,436",21 concerts,
,91,Bastille,Bastille,"1,114,179",21 concerts,
,155,Travis Scott,Travis Scott,"832,243",21 concerts,
,199,Slipknot,Slipknot,"711,589",21 concerts,
,81,Bon Iver,Bon Iver,"1,166,715",22 concerts,
,115,Bon Jovi,Bon Jovi,"994,577",22 concerts,
,162,Passion Pit,Passion Pit,"817,480",22 concerts,
,43,Queen,Queen,"1,486,511",23 concerts,
,192,Band of Horses,Band of Horses,"722,902",26 concerts,
,179,The Offspring,The Offspring,"763,885",27 concerts,
,187,Pixies,Pixies,"738,302",28 concerts,
,110,The Strokes,The Strokes,"1,020,230",3 concerts,
,178,Tove Lo,Tove Lo,"766,533",3 concerts,
,132,Beck,Beck,"926,753",30 concerts,
,143,Post Malone,Post Malone,"890,100",30 concerts,
,171,The Who,The Who,"792,793",30 concerts,
,182,Vance Joy,Vance Joy,"755,684",30 concerts,
,46,Metallica,Metallica,"1,441,856",32 concerts,
,109,Mariah Carey,Mariah Carey,"1,022,575",32 concerts,
,133,Zedd,Zedd,"923,834",32 concerts,
,62,John Mayer,John Mayer,"1,302,539",33 concerts,
,70,Fleetwood Mac,Fleetwood Mac,"1,250,029",35 concerts,
,97,Bob Dylan,Bob Dylan,"1,083,432",35 concerts,
,165,Cage the Elephant,Cage the Elephant,"814,822",38 concerts,
,11,Ed Sheeran,Ed Sheeran,"2,303,966",39 concerts,
,103,Weezer,Weezer,"1,045,530",39 concerts,
,124,Death Cab for Cutie,Death Cab for Cutie,"949,842",39 concerts,
,127,Vampire Weekend,Vampire Weekend,"943,899",39 concerts,
,15,Calvin Harris,Calvin Harris,"2,120,588",4 concerts,
,19,Kendrick Lamar,Kendrick Lamar,"2,011,786",4 concerts,
,27,Kings of Leon,Kings of Leon,"1,910,790",4 concerts,
,47,Fall Out Boy,Fall Out Boy,"1,404,616",4 concerts,
,48,Big Sean,Big Sean,"1,388,014",4 concerts,
,75,Sam Smith,Sam Smith,"1,195,058",4 concerts,
,78,Future,Future,"1,171,741",4 concerts,
,94,Nickelback,Nickelback,"1,102,344",4 concerts,
,100,The Lumineers,The Lumineers,"1,063,764",4 concerts,
,106,Tyga,Tyga,"1,028,276",4 concerts,
,152,Chance the Rapper,Chance the Rapper,"838,860",4 concerts,
,181,R. Kelly,R. Kelly,"760,200",4 concerts,
,163,Florence and the Machine,Florence and the Machine,"816,707",40 concerts,
,89,Train,Train,"1,119,229",45 concerts,
,34,Muse,Muse,"1,715,580",46 concerts,
,144,Snow Patrol,Snow Patrol,"873,178",47 concerts,
,177,The Goo Goo Dolls,The Goo Goo Dolls,"767,351",49 concerts,
,14,Lil Wayne,Lil Wayne,"2,159,528",5 concerts,
,183,Gucci Mane,Gucci Mane,"747,781",5 concerts,
,193,Kygo,Kygo,"720,584",5 concerts,
,31,Mumford & Sons,Mumford & Sons,"1,737,244",51 concerts,
,184,Luke Bryan,Luke Bryan,"747,257",56 concerts,
,33,Lana Del Rey,Lana Del Rey,"1,721,887",6 concerts,
,82,Major Lazer,Major Lazer,"1,157,693",6 concerts,
,95,Enrique Iglesias,Enrique Iglesias,"1,100,640",6 concerts,
,121,Jessie J,Jessie J,"971,579",6 concerts,
,137,Phoenix,Phoenix,"910,526",6 concerts,
,153,Deadmau5,Deadmau5,"834,553",6 concerts,
,173,Migos,Migos,"786,686",6 concerts,
,93,Twenty One Pilots,Twenty One Pilots,"1,107,448",62 concerts,
,113,The Chainsmokers,The Chainsmokers,"999,812",64 concerts,
,195,Santana,Santana,"718,080",67 concerts,
,98,Childish Gambino,Childish Gambino,"1,075,867",7 concerts,
,149,Eric Clapton,Eric Clapton,"854,799",7 concerts,
